id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16267721,Unique hard loft conversion,90338073,Sabrina,,The Beaches,43.66916956,-79.30867606,Entire home/apt,399,5,0,,,2,179
9488909,Queen East Condo In the Beaches,43811612,Maeghan,,The Beaches,43.66716206,-79.31053842,Entire home/apt,130,1,16,1/1/2017,0.93,1,0
15950107,Beach Luxury + Incredible View of Toronto Skyline,2356461,Inder,,The Beaches,43.66425446,-79.30794164,Entire home/apt,1351,7,0,,,1,218
1825306,Charming studio,10508992,Winona,,The Beaches,43.67241581,-79.30731923,Entire home/apt,85,3,2,6/14/2015,0.06,1,365
6850806,Pan Am Games Beautiful Beach Loft,35895978,Alex,,The Beaches,43.67349156,-79.28917746,Entire home/apt,109,1,0,,,1,0
12288385,Weekend Getaway in Beach- Close to Downtown,621448,Tihana,,The Beaches,43.67715464,-79.30038888,Shared room,99,1,1,5/30/2016,0.08,2,130
2885993,"Charming, Serene Flat at The Beach",14749364,Vivian,,The Beaches,43.67079361,-79.29193316,Entire home/apt,120,3,57,5/5/2017,1.55,3,298
1085461,Modern Beach Home - 2 Bedroom Plus Den,5967259,Jacki,,The Beaches,43.6722019,-79.29408559,Entire home/apt,300,2,13,5/22/2017,0.28,2,289
363057,Charming Century House in Beaches,1816495,Katharine,,The Beaches,43.67112958,-79.2983932,Entire home/apt,209,1,0,,,2,255
12812398,Cottage-like Beaches Home,17225208,Tera & Jamie,,The Beaches,43.67281462,-79.30758389,Entire home/apt,253,3,3,8/5/2016,0.26,2,169
15436524,Prime beach studio apartment,3607242,Gillian,,The Beaches,43.67374298,-79.28605178,Entire home/apt,69,2,1,1/8/2017,0.2,1,0
12681621,Cozy Toronto Beach(es) B&B,40998274,Sandra,,The Beaches,43.67051639,-79.31079809,Entire home/apt,91,2,33,5/21/2017,2.58,2,140
9309550,"Contemporary, Private Beach Getaway",16791144,Nancy & Sam,,The Beaches,43.67249057,-79.29594399,Entire home/apt,99,1,35,5/29/2017,1.91,1,128
13406543,Your Beach-Home away from home,3552678,Shannon,,The Beaches,43.67356834,-79.30567229,Entire home/apt,200,2,2,8/7/2016,0.2,1,11
13862919,In the City but at the Beach,22839912,Loretta,,The Beaches,43.66753798,-79.30857692,Private room,85,2,0,,,1,0
14919570,Cozy Basement Apartment Steps From Balmy Beach,8126456,Allan,,The Beaches,43.67080168,-79.28852171,Entire home/apt,70,2,9,4/25/2017,1.02,1,132
1321398,Toronto Beach self contained 1 bdrm,7173548,Pasqua,,The Beaches,43.67286529,-79.28535115,Entire home/apt,78,3,57,6/2/2017,1.64,3,303
1321397,Arts & Crafts Beach home by Lake ON,7173548,Pasqua,,The Beaches,43.67238822,-79.28711816,Entire home/apt,276,5,10,9/2/2016,0.22,3,311
5579677,Exclusively for Panam/Parapan/TIFF!,28928580,Aileen,,The Beaches,43.67692966,-79.30157414,Entire home/apt,695,9,0,,,1,363
6169312,Right on the Beach!,146076,Nathaniel,,The Beaches,43.66637198,-79.30481598,Entire home/apt,100,1,2,5/7/2016,0.08,1,0
12853159,The Beaches,5485932,Josee,,The Beaches,43.66938552,-79.30057407,Entire home/apt,126,3,8,9/26/2016,0.64,1,195
12492650,Beach Character home with Parking,49632607,Cathie,,The Beaches,43.67499273,-79.29901643,Entire home/apt,250,3,3,8/8/2016,0.25,1,322
17132171,Family-friendly Kew Beach House in the beaches,67322562,Erin,,The Beaches,43.66686653,-79.303728,Entire home/apt,150,3,10,5/29/2017,2.86,1,46
14614012,Beach House,20370037,Sawa,,The Beaches,43.66999432,-79.30354728,Entire home/apt,109,2,4,5/13/2017,0.44,1,0
6486734,Charming private room,33899424,Mary,,The Beaches,43.6684954,-79.29187893,Private room,89,1,0,,,1,365
6290257,Garden Apartment in Century House Toronto Beaches,11652227,Clive,,The Beaches,43.66876157,-79.3093377,Entire home/apt,59,2,37,5/20/2017,1.54,2,300
16447885,"Beaches Adorable Studio, Lovely Renovation (Bsmnt)",5967259,Jacki,,The Beaches,43.67017289,-79.29248369,Entire home/apt,80,2,5,5/31/2017,1.22,2,138
19036249,Waverley Road / Kew Gardens,132846834,Sherry,,The Beaches,43.6684685,-79.30031047,Private room,59,1,0,,,1,353
15112465,Heart of the Beach,95741881,Jason & Paula,,The Beaches,43.67034092,-79.29924555,Entire home/apt,99,2,32,5/29/2017,4.02,1,61
14119488,"Beautiful ""Beaches"" Getaway!",85107298,Olivia / Stacey,,The Beaches,43.67469014,-79.29551139,Entire home/apt,276,5,0,,,1,271
732835,Tiny House Toronto (Try TINY!),1572211,Tanya,,The Beaches,43.67465983,-79.30500072,Entire home/apt,80,2,64,6/1/2017,1.69,1,79
13740027,"Beautiful 1 Bedroom, 2 Floor Apt. in the Beach",54650146,Tyler,,The Beaches,43.67119641,-79.29714622,Entire home/apt,149,1,13,9/4/2016,1.19,1,0
