room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4175178,12767398,Shared room,,Dovercourt-Wallace Emerson-Junction (93),3,4.5,2,1.0,18.0,,43.665051,-79.446321,2017-03-12 20:49:19.169239
15815612,37488630,Shared room,,Mount Pleasant West (104),0,0.0,1,1.0,20.0,,43.700217,-79.390757,2017-03-12 20:49:19.161683
8534996,44935357,Shared room,,Tam O'Shanter-Sullivan (118),0,0.0,1,1.0,14.0,,43.781252,-79.295867,2017-03-12 20:49:17.718154
5556172,7921343,Shared room,,Broadview North (57),19,4.5,2,1.0,33.0,,43.688297,-79.349284,2017-03-12 20:49:17.715082
7952411,4388534,Shared room,,Niagara (82),20,4.5,1,1.0,38.0,,43.636016,-79.406298,2017-03-12 20:49:17.709590
17241006,116163679,Shared room,,Waterfront Communities-The Island (77),2,0.0,1,1.0,20.0,,43.640487,-79.400221,2017-03-12 20:49:17.699567
4653026,24085234,Shared room,,Caledonia-Fairbank (109),0,0.0,3,1.0,27.0,,43.68679,-79.459343,2017-03-12 20:49:17.681337
17528508,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,20.0,,43.694144,-79.299588,2017-03-12 20:49:17.675503
4302779,22266980,Shared room,,Church-Yonge Corridor (75),33,4.5,2,1.0,37.0,,43.656205,-79.375437,2017-03-12 20:49:17.670826
13824780,50157583,Shared room,,Weston-Pellam Park (91),1,0.0,2,1.0,23.0,,43.671368,-79.455856,2017-03-12 20:49:17.661280
17575814,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,20.0,,43.693483,-79.301694,2017-03-12 20:49:17.658429
3461883,17444616,Shared room,,Waterfront Communities-The Island (77),14,4.5,1,1.0,38.0,,43.647828,-79.400612,2017-03-12 20:49:17.654488
14654985,61573874,Shared room,,Tam O'Shanter-Sullivan (118),0,0.0,2,1.0,20.0,,43.771816,-79.309606,2017-03-12 20:49:16.044032
9598148,47337296,Shared room,,Islington-City Centre West (14),26,4.5,2,1.0,25.0,,43.622481,-79.516255,2017-03-12 20:49:16.041374
15250763,96982944,Shared room,,Willowdale East (51),0,0.0,1,1.0,20.0,,43.76296,-79.411078,2017-03-12 20:49:16.036197
14663206,61573874,Shared room,,Tam O'Shanter-Sullivan (118),0,0.0,4,1.0,20.0,,43.771029,-79.311266,2017-03-12 20:49:16.033342
13843991,61877044,Shared room,,Annex (95),21,4.0,1,1.0,20.0,,43.678888,-79.395488,2017-03-12 20:49:16.015066
13653403,3985338,Shared room,,Waterfront Communities-The Island (77),0,0.0,1,1.0,23.0,,43.642404,-79.383156,2017-03-12 20:49:15.994152
13573684,58652393,Shared room,,Dovercourt-Wallace Emerson-Junction (93),9,5.0,2,1.0,27.0,,43.662406,-79.424549,2017-03-12 20:49:15.987849
7246096,37345630,Shared room,,Bedford Park-Nortown (39),72,5.0,1,1.0,19.0,,43.725283,-79.429374,2017-03-12 20:49:15.984810
16788043,34108478,Shared room,,Oakwood Village (107),0,0.0,2,1.0,35.0,,43.693918,-79.443354,2017-03-12 20:49:15.978748
13980289,76428590,Shared room,,Church-Yonge Corridor (75),12,5.0,1,1.0,38.0,,43.663014,-79.383416,2017-03-12 20:49:15.970135
13992789,13669539,Shared room,,Mount Pleasant West (104),1,0.0,1,1.0,20.0,,43.699764,-79.391528,2017-03-12 20:49:14.453175
15899057,103123027,Shared room,,Willowdale East (51),0,0.0,1,1.0,31.0,,43.759306,-79.407831,2017-03-12 20:49:14.450940
15314455,97321849,Shared room,,Cabbagetown-South St.James Town (71),13,5.0,2,1.0,22.0,,43.66713,-79.372473,2017-03-12 20:49:14.448463
4002741,20667851,Shared room,,Regent Park (72),126,4.5,2,1.0,31.0,,43.658154,-79.3635,2017-03-12 20:49:14.444799
16752719,13155481,Shared room,,Waterfront Communities-The Island (77),0,0.0,1,1.0,38.0,,43.637349,-79.389804,2017-03-12 20:49:14.440088
10209071,52450011,Shared room,,Annex (95),2,0.0,1,1.0,20.0,,43.666556,-79.406115,2017-03-12 20:49:14.436138
15678076,1717897,Shared room,,Yonge-St.Clair (97),0,0.0,2,1.0,29.0,,43.692365,-79.396794,2017-03-12 20:49:14.434075
13808034,7118464,Shared room,,Waterfront Communities-The Island (77),0,0.0,6,1.0,15.0,,43.641494,-79.381145,2017-03-12 20:49:14.431647
14030071,29690015,Shared room,,Englemount-Lawrence (32),17,5.0,2,1.0,34.0,,43.718285,-79.442194,2017-03-12 20:49:14.427719
16181077,105654800,Shared room,,East End-Danforth (62),1,0.0,2,1.0,14.0,,43.688648,-79.300662,2017-03-12 20:49:14.425600
11142185,57906872,Shared room,,Annex (95),1,0.0,2,1.0,26.0,,43.672665,-79.414074,2017-03-12 20:49:14.421638
9918337,50203566,Shared room,,Briar Hill-Belgravia (108),4,4.5,2,1.0,28.0,,43.703311,-79.439338,2017-03-12 20:49:14.417397
14026032,52369289,Shared room,,Annex (95),21,5.0,1,1.0,27.0,,43.66845,-79.404096,2017-03-12 20:49:14.415039
